,Tweet,Username,Location,Created_at
0,Emang IndiHome itu #InternetnyaIndonesia kebantu banget buat semua aktivitas online. Terutama bisa belajar online d… https://t.co/ZEQXlZjrUS,EnidaAminah,"South Borneo, Indonesia",2022-01-26 23:59:13
1,"Kerja lembur bagai quda yg penting cuanya ada 😂 , yu semangat kalo kerja di temeni jaringan indihome bakal cepet se… https://t.co/tPoTnfKdyg",panggilnj,"Semarang, Jawa Tengah",2022-01-26 23:57:42
2,Dapet info dari @indihomeborneo kalo dapat akses gratis IndiHome Study kalo pasang IndiHome paket pelajar nih. Ngeb… https://t.co/ASnk7fKHFN,EnidaAminah,"South Borneo, Indonesia",2022-01-26 23:57:38
3,Tolong dong @IndiHome @IndiHomeCare masa dr kmrn blm ada perbaikan juga,LalalaLand198,,2022-01-26 23:56:32
4,Semakin dekat dengan babak 1 KIGP 2022. Harus banyak latihan soal di IndiHome Study nih. Untung di rumah udah pasan… https://t.co/Ej4zKuNyeB,EnidaAminah,"South Borneo, Indonesia",2022-01-26 23:56:10
5,"Berkat pasang IndiHome paket Pelajar jadi hobby belajar nih, soalnya belajar nya bisa dari HP aja lewat IndiHome St… https://t.co/9LXvQ7lxBp",EnidaAminah,"South Borneo, Indonesia",2022-01-26 23:54:43
6,"Yuk, berlangganan Hybrid Box (STB) Tambahan dan PLC! Nonton beragam tayangan IndiHome TV dalam waktu bersamaan.… https://t.co/R3kOVVRvsz",AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:54:39
7,"@IndiHomeCare Suka sekalee sama info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:52:56
8,"@IndiHome jaringan rapih dong, mau ngumpulin berkas ni",Hyperaddictt,Indonesia,2022-01-26 23:52:44
9,"@IndiHomeCare Suka sama info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:52:42
10,"@IndiHomeCare Demen sama info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:52:32
11,"Gak perlu bingung sarapan kalo ada wifi indihome dirumah, tiap hari mau sarapan menunya beda juga bisa hehehe😁… https://t.co/BDD6yTl60D",panggilnj,"Semarang, Jawa Tengah",2022-01-26 23:52:21
12,"@IndiHomeCare Suka sama info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:51:41
13,"@IndiHomeCare Demen deh, info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:51:27
14,"@IndiHomeCare Demen sama info kayak gini, makasih IndiHome #KuisIndiHomeCare",FCyza,,2022-01-26 23:51:10
15,"Melalui add-on Upgrade Speed, Kamu bebas untuk tambah kecepatan internet secara permanen, mulai dari 20 Mbps sampai… https://t.co/PH3Aj4PMgj",AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:49:54
16,"Selamat pagi, semangat kamu hebat ! Jalani aktivitas bersama indihome pasti menyenangkan 🥰 #InternetnyaIndonesia… https://t.co/Yb2pTkfcLp",panggilnj,"Semarang, Jawa Tengah",2022-01-26 23:47:54
17,Semoga bisa menang di pertandingan BRI Liga 1 https://t.co/swqMBxfv6X,fatmanrb1,,2022-01-26 23:46:54
18,"wah disney+ hotstar udh bisa di download di indihome :"")",febrisyawalia,,2022-01-26 23:46:51
19,Kantong tipis ngaa jadi masalah di rumah Aja 🏡 kan ada Indihome bisa Nonton Netflix sepuasnya… https://t.co/SQBOymvdm8,lailafadhilah98,"Semarang, Jawa Tengah",2022-01-26 23:45:37
20,@IndiHomeCare pagi... Apakah boleh saya mengajukan pengaduan gangguan yang saya alami pada jaringan indihome saya disini?,Muhamma03139536,,2022-01-26 23:41:09
21,"@_kindnessme_ Hai, Kak Dewi. Difya informasikan SOD (Speed On Demand) merupakan fitur dari produk home internet (In… https://t.co/ryqzzUeeh1",IndiHomeCare,Indonesia,2022-01-26 23:37:23
22,"Kok aneh ya, gw nonton YouTube Buka Ig lancar, tapi waktu mau main game, pas di loading screen nya ga jalan"" ini In… https://t.co/uhvMrcfEa6",meindounoob,,2022-01-26 23:34:18
23,"Wah tanggal tua gini tapi jiwa pengen liburan meronta-ronta, tenang....
Liburan virtual dulu aja pake IndiHome, non… https://t.co/FclqZZq4eA",lailafadhilah98,"Semarang, Jawa Tengah",2022-01-26 23:34:01
24,"@TelkomCare selamat pagi, Saya mau berhenti langganan indihome. Apakah harus ke plasa telkom atau bisa dibantu secara online? Terima kasih.",ifan_biru,Medan dan pekanbaru,2022-01-26 23:31:52
25,"Adem sekali yaa di Makkah, jadi pengen kesana lagi🥲 tapi tidak apa2 masih bisa stalk2 di internet pake koneksi indi… https://t.co/HwTpYTr05a",Qfly_Mu,"Kota Palu, Sulawesi Tengah",2022-01-26 23:29:56
26,Siapa nih yg menang https://t.co/T42zH4JxZ0,Kirana_lar,,2022-01-26 23:29:14
27,Siapakah yg akan menang https://t.co/5zPKUwYjpK,wantri_nov,,2022-01-26 23:25:32
28,"Ingin merasankan serunya punya TV lebih dari satu di rumah? Yuk, berlangganan Hybrid Box (STB) Tambahan dan PLC! No… https://t.co/E4Y4pSUTYF",AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:24:49
29,Siapakah pemenangnya https://t.co/r0bT6noFET,Keytris3,,2022-01-26 23:23:38
30,Siapakah kira kira yg akan menang https://t.co/Gx9v3V8E4t,Magus33075754,,2022-01-26 23:21:39
31,"RT @indihomeborneo: Kapan lagi dikasih banyak pilihan promo menarik yang bisa bikin harimu lebih asik? 😍

Sekarang banget! Kamu bisa wujudi…",MarioP14979681,"Kalimantan Tengah, Indonesia",2022-01-26 23:20:11
32,"Sobat, tim Netflix atau WeTV? Sekarang sobat bisa streaming secara nyaman Netflix atau WeTV di IndiHome lho.… https://t.co/yhPlSKZ6Qm",AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:19:39
33,"Channel olahraga premium, spotv dan spotv2 hadir di IndiHome lo ada yg baru tau kah?
#AktivitasTanpaBatas… https://t.co/jsEat6F9GT",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:17:31
34,"Ingin lebih nyaman beselancar di internet?
Internetan lebih aman dan nyaman dengan IndiHome
#AktivitasTanpaBatas… https://t.co/wOGiFFJvYJ",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:17:18
35,"IndiHome akan terus kasih event-event spesial dengan berbagai kejutan yang menarik setiap bulannya! 
kasih tau ke t… https://t.co/uAL7N6wiPW",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:17:05
36,"Mabar anti ngelag ya pakai @IndiHome 
#IndiHomeMbois #AktivitasTanpaBatas #InternetnyaIndonesia",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:16:43
37,"Buat momen berkesan setiap harinya bersama orang-orang di rumah, dengan beragam tayangan di Minipack Channel TV Ind… https://t.co/u0gb35R87T",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:16:23
38,IndiHome adalah layanan dari Telkom Indonesia yang terdiri dari Fiber Internet atau internet berkecepatan tinggi (h… https://t.co/LpYEoEFWgD,anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:16:10
39,"@IndiHomeCare Min, 1 IndiHome TV bisa gak berlangganan 3 STB sekaligus? #MauNanyaDong",pecintamochi,,2022-01-26 23:15:38
40,"Banyak Film &amp; Tayangan Unggulan Hanya di IndiHome TV.
#AktivitasTanpaBatas  #InternetnyaIndonesia #IndiHomeMbois",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:15:37
41,"@IndiHomeCare Katanya kalo terlambat bayar IndiHome itu dikenakan denda, Benar gak? Kalo benar, dendanya berapa ya? #MauNanyaDong",pecintamochi,,2022-01-26 23:15:29
42,"Periksa ketersediaan jaringan internet broadband di tempat tinggal Anda dengan mudah, karena IndiHome tersedia hing… https://t.co/Lf24hYZrv7",anisarchmwti,"Kota Surabaya, Jawa Timur",2022-01-26 23:15:24
43,Indihome lagi gangguan ga sih,almira_erina,"Kediri, Jawa Timur",2022-01-26 23:13:21
44,Siapa nih yg kora kira bakal menang https://t.co/eLcVLJlZLR,ita_sul,,2022-01-26 23:11:22
45,"RT @DoyoungPromotes: $15 | 205k IDR | P690 | 3 HRS 🐿️

- RT + RT &amp; Like @Minhofnbr 📌",User_indihome,,2022-01-26 23:09:31
46,"Buru2 berangkat kerja ternyata lupa matikan lampu di rumah. Tenang aja Sob, kan sudah pakai IndiHome Smart. Bebas m… https://t.co/3dCmUf02vM",AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:07:48
47,"@TelkomCare Selamat pagi, saya mau berhenti langganan Indihome, apakah harus ke Plasa Telkom atau bisa dibantu secara online? Makasih",muhfaw,,2022-01-26 23:05:54
